Link,Channel,Trial,Timestamp,Outcome,Phase,ColumnOfFailure,Gender,Footwear,PeakHeight,Surface,Injury,dH_failure,Max_dH,Notes
,,1,26:00,S,,,F,Slippers,7,Grass,No,,2,dH = -2 at col 12
,,1,32:08,S,,,M,Sneakers,7,Grass,No,,2,dH = -2 at col 12
,,1,41:01,F,5,5,F,Sneakers,7,Grass,No,1,2,dH = -2 at col 12 (not reached)
,,1,42:31,S,,,F,Sneakers,7,Grass,No,,2,dH = -2 at col 12
aXW6vVgz3p4,qtclaps,1,2:31,S,,,M,Slippers,8,Grass,No,,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,3:40,F,5,5,M,Slippers,8,Grass,No,1,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,4:10,F,6,6,M,Slippers,8,Grass,No,2,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,4:37,F,5,5,M,Slippers,8,Grass,No,1,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,4:56,F,9,9,M,Slippers,8,Grass,No,-1,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,6:00,S,,,M,Sneakers,8,Grass,No,,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,6:42,F,6,6,M,Sneakers,8,Grass,No,2,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,7:00,F,6,6,M,Slippers,8,Grass,No,2,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,7:27,F,7,7,M,Slippers,8,Grass,No,2,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
,,1,7:33,F,6,6,M,Slippers,8,Grass,No,2,2,"dH = +2 at cols 6, 7; dH = -2 at col 8 (not reached)"
oU3Cjdv2zx0,Kidd Murray,1,1:38,F,6,6,M,Sneakers,6,Grass/Concrete,No,1,2,dH = -2 at col 8 (not reached)
